Serial No,Inventory No,Inventory Type,Department,Items Name,Total Purchased,Opening Balance,Closing Balance,Total Balance,Total Issue,Total Return,Total Damage,Total Missing,Image
125,IN-Decor-001,Decor,TRAY,Golden Tray,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1WejMAJ2qTKYPCjyb2FK6E9kyhK9Eq92k
126,IN-Decor-001,Decor,Bowl,Golden Tray Small,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1v4TDBkLOkD5V_PQmP9fAe3J6Y7JkwuJK
127,IN-Decor-001,Decor,TRAY,Gray Round Tray,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1juWTIM5uqsM7QUjDDijYKFfqPAHQ5P82
128,IN-Decor-001,Decor,Bowl,Green Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1tOlZfGx9VqQlm__qQTDsHJEm1YzZd8fP
129,IN-Decor-001,Decor,WOODEN,H3 Board,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1ee_pJ2ERWD0alaQJbCgTOj14NiBevcWC
130,IN-Disposal-001,Disposal,Bamboo,H3 Toothpick,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1zyweJ2TxsZImz-3rb0skm3c3VxHXRtG4
131,IN-Decor-001,Decor,WOODEN,Induction Cover,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1h9drC6W0HBRea6cP4x6ctMIdXAtsGqqL
132,IN-Decor-001,Decor,Glass,Iron Glass Brass,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1y3szn0P34lK1NFswxDE8ZsEHxgMIfBxY
133,IN-Decor-001,Decor,WOODEN,Jhalmuri Tong,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1cyoHrWWBvcNFNyBsMzGKOq7Z0EDETLqx
134,IN-Kullhad-001,Kullhad,KULLHAD,k-1,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1KAf_os4X4MGKfnJN1R8YyxBpKVOVuQCW
